Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EXIDEIND,EQ,21-Jan-22,177.7,176.65,179.5,174.75,176.65,176.1,177.36,2181416,386890818.4,22283,910168,41.72
EXIDEIND,EQ,24-Jan-22,176.1,175.95,177.5,170.3,173,173,173.62,2816377,488982908.2,37544,510804,36.75
EXIDEIND,EQ,25-Jan-22,173,171.4,175.75,170.05,175.5,175.15,174.08,1910925,332663230.6,25637,794975,41.6
EXIDEIND,EQ,27-Jan-22,175.15,174,176.85,171.75,173.6,173.65,173.85,3367347,585410352.1,47708,1249009,37.09
EXIDEIND,EQ,28-Jan-22,173.65,174.9,178.75,174.25,175.5,175.35,177.13,1915829,339357436.4,24066,608948,31.79
EXIDEIND,EQ,31-Jan-22,175.35,178.85,181.3,171.65,173.25,173.65,175.87,7301500,1284125767,62142,2776081,38.02
EXIDEIND,EQ,01-Feb-22,173.65,173.55,178.65,172.3,174.65,175.05,175.5,6892546,1209632180,77172,1915239,27.79
EXIDEIND,EQ,02-Feb-22,175.05,177.2,177.6,174.5,175,175.05,175.61,2443235,429044291,32259,946820,38.75
EXIDEIND,EQ,03-Feb-22,175.05,175.05,176.35,173.1,173.35,173.55,174.59,1537584,268444043.1,24495,576444,37.49
EXIDEIND,EQ,04-Feb-22,173.55,174.3,175.3,170.55,171.2,171.15,172.78,3406622,588592447,30114,1998559,58.67
EXIDEIND,EQ,07-Feb-22,171.15,170.5,171.15,166.5,167,167,167.95,3368057,565663243.2,55399,1541720,45.77
EXIDEIND,EQ,08-Feb-22,167,168.3,169.25,165.25,166.2,166.55,166.71,3906146,651176526.1,36213,2087370,53.44
EXIDEIND,EQ,09-Feb-22,166.55,167.4,168,166.4,167.3,167.25,167.17,2270689,379585187.7,32010,1192997,52.54
EXIDEIND,EQ,10-Feb-22,167.25,167.7,167.75,165.7,166.2,166.3,166.56,2019215,336317306.1,22672,1076671,53.32
EXIDEIND,EQ,11-Feb-22,166.3,165.55,166.6,163.15,163.6,163.75,164.78,2377545,391766822.6,28005,1265647,53.23
EXIDEIND,EQ,14-Feb-22,163.75,161.1,161.9,155.6,156,156.2,158.64,3533761,560580924.1,52243,1717103,48.59
EXIDEIND,EQ,15-Feb-22,156.2,157.9,159.95,154.7,159.8,159.45,157.49,3987927,628056755,40700,2109718,52.9
EXIDEIND,EQ,16-Feb-22,159.45,160.45,161.7,159.05,159.25,159.5,160.23,1690833,270916455.6,18922,655772,38.78
EXIDEIND,EQ,17-Feb-22,159.5,160.35,160.75,157.6,157.9,158.05,158.98,1243004,197618434.1,18202,549342,44.19
EXIDEIND,EQ,18-Feb-22,158.05,157.3,158.75,156.1,156.8,156.45,157.33,1432065,225308584,19699,571116,39.88
EXIDEIND,EQ,21-Feb-22,156.45,156,156.3,154,154.35,154.25,155,1531378,237361107.9,22261,649599,42.42
EXIDEIND,EQ,22-Feb-22,154.25,152.2,152.3,146,151.4,151.1,150.7,2522328,380116232.6,34898,1067732,42.33
EXIDEIND,EQ,23-Feb-22,151.1,152.5,154.1,152.45,153.1,152.95,153.33,1875620,287588372.6,20143,843849,44.99
EXIDEIND,EQ,24-Feb-22,152.95,147,149.95,140.5,142.5,141.4,144.65,4633642,670273701.8,66604,1933503,41.73
EXIDEIND,EQ,25-Feb-22,141.4,144.9,149.4,144.2,149.2,149,147.62,2338779,345244021.2,33399,878912,37.58
EXIDEIND,EQ,28-Feb-22,149,148.3,149.75,146.55,149.3,149.05,148.45,1821075,270342821.6,24983,678613,37.26
EXIDEIND,EQ,02-Mar-22,149.05,149.05,150.3,147.05,148.95,148.4,148.74,1947892,289724170.4,40104,902543,46.33
EXIDEIND,EQ,03-Mar-22,148.4,150.9,150.95,147.8,148.4,148.35,148.95,1795477,267433941.6,22256,839475,46.75
EXIDEIND,EQ,04-Mar-22,148.35,148,148,144.55,145,144.9,145.92,2448993,357345088.6,29808,987677,40.33
EXIDEIND,EQ,07-Mar-22,144.9,143.9,143.9,139.3,141.85,141.3,140.88,3048239,429447241.7,53299,1388971,45.57
EXIDEIND,EQ,08-Mar-22,141.3,139.95,145.5,139.5,145,145,142.61,1964741,280185562.3,24608,612030,31.15
EXIDEIND,EQ,09-Mar-22,145,146.45,148.65,144.7,147.95,147.95,146.68,1705458,250162931.2,23288,675110,39.59
EXIDEIND,EQ,10-Mar-22,147.95,150.95,153.75,150.25,151.3,151.2,151.59,2753399,417375358.1,29032,667428,24.24
EXIDEIND,EQ,11-Mar-22,151.2,152.65,156.35,152.25,153.5,153.65,153.99,4255136,655262040.1,38769,1134995,26.67
EXIDEIND,EQ,14-Mar-22,153.65,154.35,155,152.05,154.5,154.65,153.85,1586858,244130198.5,20875,603621,38.04
EXIDEIND,EQ,15-Mar-22,154.65,155,156.6,152.7,153.9,154,155.05,2121787,328989506.7,25479,697939,32.89
EXIDEIND,EQ,16-Mar-22,154,155.9,157.25,155.35,156.35,156.3,156.1,1643101,256495903.9,17082,680411,41.41
EXIDEIND,EQ,17-Mar-22,156.3,158.9,158.9,155.25,156.45,156.3,156.92,2197416,344819812.6,21274,1153885,52.51
